# -------------------------------------------------------;;;;;;;;;
# App: com.ichi2.anki, date: 20141212-20150112;;;;;;;;;
# -------------------------------------------------------;;;;;;;;;
;;;;;;;;;
date;language;current_device_installs;daily_device_installs;daily_device_uninstalls;daily_device_upgrades;current_user_installs;total_user_installs;daily_user_installs;daily_user_uninstalls
20150112;en_HU;63;0;0;0;57;138;0;0
20150112;en_HR;19;0;0;0;17;53;0;0
20150112;en_HK;395;0;2;0;325;793;0;2
20150112;en_GR;9;0;0;0;9;27;0;0
20150112;en_GH;1;0;0;0;0;0;0;0
20150112;en_GE;1;0;0;0;1;4;0;0
20150112;en_GB;56583;268;118;37;48662;98644;200;106
20150112;en_FR;92;0;0;0;68;186;0;0
20150112;en_FJ;0;0;0;0;0;1;0;0
20150112;en_FI;67;0;0;0;45;103;0;0
20150112;en_EU;0;0;0;0;0;2;0;0
20150112;en_ES;39;0;0;0;32;125;0;0
20150112;en_EG;12;0;0;0;11;46;0;0
20150112;en_EE;27;0;0;0;26;56;0;0
20150112;en_DZ;4;0;0;0;3;9;0;0
20150112;en_DK;51;0;0;1;40;89;0;0
20150112;en_DE;425;2;1;0;352;804;2;0
20150112;en_CZ;89;0;0;0;71;175;0;0
20150112;en_CY;5;0;0;0;4;7;0;0
20150112;en_CS;20;0;1;0;14;51;0;1
20150112;en_CO;1;0;0;0;1;1;0;0
20150112;en_CN;28;0;0;0;19;52;0;0
20150112;en_CL;3;0;0;0;1;1;0;0
20150112;en_CH;189;0;0;0;151;300;0;0
20150112;en_CA;9630;53;32;6;8471;16563;44;30
20150112;en_BY;5;0;0;0;3;12;0;0
20150112;en_BW;0;0;0;0;0;1;0;0
20150112;en_BR;2;0;0;0;2;2;0;0
20150112;en_BH;6;0;0;0;6;19;0;0
20150112;en_BG;18;0;0;0;17;48;0;0
20150112;en_BE;27;0;0;0;24;60;0;0
20150112;en_BD;0;0;0;0;0;1;0;0
20150112;en_BA;0;0;0;0;0;4;0;0
20150112;en_AZ;1;0;0;0;1;3;0;0
20150112;en_AU;11262;36;16;9;9496;17543;29;14
20150112;en_AT;71;1;0;0;58;139;1;0
20150112;en_AR;1;0;0;0;1;10;0;0
20150112;en_AO;1;0;0;0;1;3;0;0
20150112;en_AM;5;0;0;0;4;13;0;0
20150112;en_AL;0;0;0;0;0;2;0;0
20150112;en_AE;43;0;0;0;35;105;0;0
20150112;en;114;0;1;0;91;297;0;1
20150112;el_US;1;0;0;0;1;1;0;0
20150112;el_GR;301;1;3;0;272;724;1;3
20150112;el_GB;0;0;0;0;0;1;0;0
20150112;el;1;0;0;0;1;2;0;0
20150112;de_US;13;0;0;0;11;18;0;0
20150112;de_RU;4;0;0;0;2;2;0;0
20150112;de_PT;2;0;0;0;2;2;0;0
20150112;de_PL;2;0;0;0;1;2;0;0
20150112;de_NL;9;0;0;0;8;22;0;0
20150112;de_LU;12;0;0;0;10;35;0;0
20150112;de_LI;64;2;0;0;57;104;2;0
20150112;de_IT;18;0;0;0;15;36;0;0
20150112;de_IE;8;0;0;0;5;10;0;0
20150112;de_GR;2;0;0;0;2;2;0;0
20150112;de_GH;1;0;0;0;0;0;0;0
20150112;de_GB;41;1;1;0;39;73;1;1
20150112;de_FR;12;0;0;0;9;30;0;0
20150112;de_ES;3;0;0;0;3;14;0;0
20150112;de_DE;59927;258;115;28;51043;109901;214;100
20150112;de_CZ;1;0;0;0;1;1;0;0
20150112;de_CH;4777;21;7;2;3948;8639;19;6
20150112;de_CA;3;0;0;0;3;4;0;0
20150112;de_BY;1;1;0;0;1;1;1;0
20150112;de_BR;1;0;0;0;0;0;0;0
20150112;de_BE;4;0;0;1;4;7;0;0
20150112;de_AZ;1;0;0;0;1;1;0;0
