# -------------------------------------------------------;;;
# App: com.ichi2.anki, date: 20141212-20150112;;;
# -------------------------------------------------------;;;
;;;
date;device;daily_crashes;daily_anrs
20150107;LGE LG G3 (g3);1;0
20150107;Motorola Moto G (falcon_cdma);1;0
20150107;Samsung Galaxy S3 (d2can);1;0
20150107;Samsung Samsung Galaxy Stratosphere2 (aegis2vzw);1;0
20150107;Sony Ericsson Xperia acro HD (IS12S);1;0
20150107;GSmart_Rio_R1;1;0
20150107;Sony Ericsson Xperia M2 (D2303);1;0
20150106;LGE L90 (w7n);1;0
20150106;LGE LG Optimus L5 II (vee5nfc);1;0
20150106;LGE LG Optimus L7 (u0);1;0
20150106;Samsung Galaxy Note II (t03g);1;0
20150106;HTC HTC One V (primou);1;0
20150106;Samsung Galaxy Star (mint);1;0
20150106;Google Nexus 4 (mako);1;0
20150106;Samsung Galaxy Tab3 8.0 (lt013g);1;0
20150106;Samsung Galaxy S5 (kltetmo);1;0
20150106;Motorola Moto G (falcon_umts);1;0
20150106;LGE LG Optimus L3 (e0);1;0
20150106;HTC Desire (bravoc);1;0
20150106;Sony Ericsson Xperia Miro (ST23i);1;0
20150106;Sony Ericsson Xperia Z1 (C6903);1;0
20150106;Kyocera Corporation Hydro VIBE (C6725);1;0
20150106;Sony Ericsson Xperia Z (C6603);1;0
20150106;Lenovo Mobile Lenovo A536 (A536);1;0
20150105;Samsung Galaxy S4 Mini  (serranolte);1;0
20150105;HTC HTC Desire X dual sim (protodug);1;0
20150105;HTC HTC One (M8) (htc_m8wl);1;0
20150105;HTC HTC One (M8) (htc_m8);1;0
20150105;Google Nexus 7 (2012) (grouper);1;0
20150105;Motorola Moto G (falcon_umts);1;0
20150105;Samsung Galaxy TabS 10.5  (chagalllte);1;0
20150105;Samsung Samsung Galaxy Stratosphere2 (aegis2vzw);1;0
20150105;Asus ASUS Transformer Pad TF300T (TF300T);1;0
20150105;Sony Ericsson Xperia Tipo (ST21i);1;0
20150105;Samsung Galaxy Tab (SC-01C);1;0
20150105;Lenovo Mobile Lenovo S660 (S660);1;0
20150105;Sony Ericsson Xperia acro HD (IS12S);1;0
20150105;Samsung Galaxy Mini2 (GT-S6500D);1;0
20150105;Samsung Galaxy Y (GT-S5360);1;0
20150105;Sony Ericsson Xperia M2 (D2303);1;0
20150105;Sony Ericsson Xperia L (C2105);1;0
20150104;HTC HTC Desire 500 (z4u);1;0
20150104;Samsung Galaxy Note II (t03g);1;0
20150104;Samsung Galaxy Tab3 10.1 (santos10wifi);1;0
20150104;Google Nexus 10 (manta);1;0
20150104;Samsung Galaxy Tab S 8.4 (klimtlte);1;0
20150104;Samsung Galaxy S4 (jflte);1;0
20150104;LGE G3 S (jagnm);1;0
20150104;Huawei Y330-U07 (hwY330-U07);1;0
20150104;Samsung Galaxy Note3 (hlte);1;0
20150104;Google Nexus 5 (hammerhead);1;0
20150104;Samsung Galaxy Tab S 10.5 (chagallwifi);1;0
20150104;Samsung Galaxy TabS 10.5  (chagalllte);1;0
20150104;Samsung Galaxy Y (GT-S5360);1;0
20150104;Samsung Galaxy Tab 10.1 (GT-P7500);1;0
20150104;Sony Ericsson Xperia Z1 (C6903);1;0
20150103;HTC HTC Desire 500 (z4u);1;0
20150103;LGE LG Optimus L3 II (vee3e);1;0
20150103;Samsung Galaxy S3 (m0);1;0
20150103;Samsung Galaxy S5 Active (klteattactive);1;0
20150103;Samsung Galaxy S4 (jfltespr);1;0
20150103;LGE LG G2 (g2);1;0
20150103;Motorola Moto G (falcon_umts);1;0
20150103;Samsung Galaxy S3 (d2spr);1;0
20150103;Sony Ericsson Xperia Z1 (SOL23);1;0
20150103;SHARP  Q-pot.Phone SH-04D (SH04D);1;0
20150103;Asus PadFone (PadFone);1;0
20150103;Asus Asus Transformer Pad (K018);1;0
20150103;Sony Ericsson Xperia Z1 (C6903);1;0
20150102;LGE LG Optimus L5 II (vee5ss);1;0
20150102;LGE LG Optimus L3 II (vee3e);1;0
20150102;Samsung Galaxy Note II (t03g);1;0
20150102;HTC Wildfire S (marvel);1;0
20150102;Samsung Galaxy S3 (m0);1;0
20150102;LGE G3 S (jag3gds);1;0
20150102;HTC HTC Desire 310 (htc_v1_u);1;0
20150102;Samsung Galaxy Note3 (hlte);1;0
20150102;LGE LG G3 (g3);1;0
20150102;Google Nexus 7 (flo);1;0
20150102;Lenovo Mobile Lenovo S660 (S660);1;0
20150102;Samsung Galaxy Gio (GT-S5660);1;0
20150102;Sony Ericsson Xperia Z Ultra (C6833);1;0
20150102;Asus ZenFone 4 (ASUS_T00Q);1;0
20150101;LGE LG Optimus One (thunderg);1;0
20150101;Google Nexus 4 (mako);1;0
20150101;Samsung Galaxy Ace3 (loganrelte);1;0
20150101;Samsung Galaxy S4 (jfvelte);1;0
20150101;Samsung Galaxy S4 (jftdd);1;0
20150101;Google Nexus 5 (hammerhead);1;0
20150101;Samsung Samsung Galaxy Stratosphere2 (aegis2vzw);1;0
20150101;Sony Ericsson Xperia Tipo (ST21i);1;0
20150101;Sony Ericsson Xperia Z1 (SOL23);1;0
20150101;Samsung Galaxy Y (GT-S5360);1;0
20150101;Samsung Galaxy Tab (GT-P1000);1;0
20150101;Samsung Galaxy S2 (GT-I9100);1;0
20150101;TCT Mobile Limited (Alcatel) ALCATEL ONE TOUCH 6040X (DIABLOX);1;0
20141231;Google Nexus 4 (mako);1;0
20141231;Samsung Galaxy S5 (klte);1;0
20141231;Huawei Y300 (hwY300-0100);1;0
20141231;Archos Hudl HT7S3 (ht7s3);1;0
20141231;Google Nexus 9 (flounder);1;0
20141231;Google Nexus 7 (flo);1;0
20141231;Samsung Galaxy S3 (d2lteMetroPCS);1;0
20141231;HTC Desire (bravo);1;0
20141231;HTC ADR6330VW (blissc);1;0
20141231;TCT Mobile Limited (Alcatel) ALCATEL ONE TOUCH 997D (Martell_GSM);1;0
20141231;Sony Ericsson Xperia M2 (D2303);1;0
20141231;Asus ZenFone 4 (ASUS_T00Q);1;0
20141230;Symphony Teleca W032I_C3 (w032i_c3);1;0
20141230;SK Telesys ITP-R208W (rk30sdk);1;0
20141230;Huawei Y210 (oay210);1;0
20141230;Samsung Galaxy Tab3 7.0  (lt023g);1;0
20141230;HTC HTC 710C (htc_a5chl);1;0
20141230;Google Nexus 5 (hammerhead);1;0
20141230;flounder_lte;1;0
20141230;Motorola Moto G (falcon_cdma);1;0
20141230;Samsung Galaxy Tab2 7.0 (espressorf);1;0
20141230;Asus Eee Pad Transformer Prime (TF201);1;0
20141230;Sony Ericsson Xperia Go (ST27i);1;0
20141230;Sony Ericsson Xperia M2 (D2303);1;0
20141229;Motorola XT910 (umts_spyder);1;0
20141229;HTC HTC One SV (k2ul);1;0
20141229;Samsung Galaxy S4 (jfltespr);1;0
20141229;Google Nexus 9 (flounder);1;0
20141229;Samsung Sidekick (SGH-T839);1;0
20141229;NEC MEDIAS PP N-01D (N-01D);1;0
20141229;Sony Ericsson Xperia acro HD (IS12S);1;0
20141229;Sony Ericsson Xperia L (C2105);1;0
20141228;LGE L90 (w7ds);1;0
